Club,League/Division,Lvl,Nickname,Change from 2022–23
A.F.C. Aldermaston,Wessex League Division One,10,Atom Men,"Transferred from Combined Counties League One
"
A.F.C. Fylde,National League,5,Coasters,"Promoted from National League North
"
A.F.C. Rushden & Diamonds,Northern Premier League Division One Midlands,8,Diamonds,"Relegated from Southern League Premier Central
"
A.F.C. Sudbury,Southern League Premier Division Central,7,Yellows,"Promoted from Isthmian League North
"
A.F.C. Telford United,Southern League Premier Division Central,7,Stags,"Relegated from National League North
"
A.F.C. Totton,Southern League Premier Division South,7,Stags,"Promoted from Southern League One South
"
A.F.C. Whyteleafe,Southern Counties East League Division One,10,Leafe,"Joined from Surrey South Eastern Combination Intermediate One
"
Accrington Stanley,EFL League Two,3,Stanley,"Relegated from EFL League One
"
Alfold,Southern Combination League Division One,10,Fold,"Relegated from Southern Combination Premier
"
Alscott Heath,Midland League Division One,10,,"Promoted from West Midlands (Regional) League One
"
Amersham Town,Combined Counties League Division One,10,Magpies,"Transferred from Spartan South Midlands League One
"
Andover New Street,Wessex League Premier Division,9,Street,"Promoted from Wessex League One
"
Anstey Nomads,Northern Premier League Division One Midlands,8,Nomads,"Promoted from United Counties League Premier North
"
Ardley United,Combined Counties League Premier Division North,9,tbc,"Transferred from Spartan South Midlands League Premier
"
Ascot United,Isthmian League South Central,8,Yellamen,"Promoted from Combined Counties League Premier North
"
Asfordby,United Counties League Division One,10,tbc,"Promoted from Leicestershire Senior League
"
Ashby Ivanhoe,United Counties League Premier Division South,9,Knights,"Promoted from Midland League One
"
Ashington,Northern Premier League Division One East,8,Colliers,"Promoted from Northern League One
"
Ashton Athletic,North West Counties League Division One North,10,Ashes,"Relegated from North West Counties League Premier
"
Ashville,North West Counties League Division One South,10,Villa,"Promoted from West Cheshire League One
"
Aveley,National League South,6,Millers,"Promoted from Isthmian League Premier
"
Avro,Northern Premier League Division One West,8,tbc,"Promoted from North West Counties League Premier
"
Aylestone Park,United Counties League Premier Division South,9,Park,"Promoted from United Counties League One
"
Badshot Lea,Isthmian League South Central,8,Baggies,"Promoted from Combined Counties League Premier South
"
Banstead Athletic,Southern Combination League Division One,10,A's,"Relegated from Combined Counties League Premier South
"
Basford United,Northern Premier League Premier Division,7,Basses,"Transferred from Southern League Premier Central
"
Basingstoke Town,Southern League Premier Division South,7,Dragons,"Promoted from Isthmian League South Central
"
Bedfont,Combined Counties League Division One,10,Yellows,"New name (formerly Bedfont & Feltham)
"
Bedfont Sports,Combined Counties League Premier Division North,9,Eagles,"Relegated from Isthmian League South Central
"
Bedford Town,Southern League Division One Central,8,Eagles,"Relegated from Southern League Premier Central
"
Belper Town,Northern Premier League Division One East,8,Nailers,"Relegated from Northern Premier League Premier
"
Bemerton Heath Harlequins,Southern League Division One South,8,Harlequins,"Promoted from Wessex League Premier
"
Berkhamsted,Southern League Premier Division Central,7,Comrades,"Promoted from Southern League One Central
"
Birtley Town,Northern League Division One,9,Green & White Army,"Promoted from Northern League Two
"
Bishops Lydeard,South West Peninsula League Premier Division East,10,tbc,"Transferred from Western League One
"
Bishop's Stortford,National League North,6,Bishops,"Promoted from Isthmian League Premier
"
Bitton,Western League Division One,9,River Boys,"Resigned from Western League Premier
"
Blackpool,EFL League One,3,Seasiders,"Relegated from EFL Championship
"
Boro Rangers,Northern League Division One,9,tbc,"Promoted from Northern League Two
"
Bradford Town,Western League Division One,10,Brad,"Relegated from Hellenic League Premier
"
Brightlingsea Regent,Isthmian League North Division,8,R's,"Relegated from Isthmian League Premier
"
Brimsdown,Eastern Counties League Division One South,10,Limers,"Promoted from Essex Alliance League Premier
"
Brixham,Western League Premier Division,9,Fishermen,"Promoted from South West Peninsula League Premier East
"
Broadbridge Heath,Isthmian League South East Division,8,Bears,"Promoted from Southern Combination League Premier
"
Brook House,Combined Counties League Division One,10,Brook,"New name (formerly AFC Hayes)
"
Buckingham,Spartan South Midlands League Division One,10,Ath,"New name (formerly Buckingham Athletic)
"
Bude Town,South West Peninsula League Premier Division West,10,tbc,"Promoted from St. Piran League East
"
Burnley,Premier League,1,Clarets,"Promoted from EFL Championship
"
Bury,North West Counties League Premier Division,9,Shakers,"Joined after merger with Bury A.F.C.
"
Cadbury Heath,Western League Division One,10,Heathens,"Demoted from Western League Premier
"
